id,date,species,sex,wing,mass
opIfd2553r-aWL3k7N,2013-07-10,Gray Catbird,M,88,35.4
s184RD9UFt-n7U3RTO,2013-07-19,Carolina Chickadee,F,57,10.6
hK46H59S75-e1C6LWm,2013-07-10,Gray Catbird,M,93,34.3
y212Z973wU-aWL3k7N,2013-07-10,Northern Cardinal,M,90.5,46
bmEfW1Nxc8-x323ozf,2013-07-11,Northern Cardinal,F,97,47.7
rL9Kv79NdG-b66WkcM,2013-07-13,American Robin,F,120,85.4
riVxwGtT1u-uFW41H3,2013-07-23,Song Sparrow,M,67,20.3
g2VkNtEUI0-r3ZPtQu,2013-07-26,Carolina Wren,M,63,17.1
g02M08w798-pDW0ECN,2013-07-29,Northern Cardinal,M,94,44.1
m4Azv3fw70-rN34Q8D,2013-07-31,Northern Cardinal,F,89,43
r3620rXkwN-rc725P7,2013-08-02,Carolina Chickadee,F,57.5,10.2
o9LcwGexCM-uFW41H3,2013-07-23,Gray Catbird,M,90,32.8
aS4RX37I1q-wqPL2z7,2013-08-07,Gray Catbird,F,87,33.7
u4s8vNMl99-r3ZPtQu,2013-07-26,Northern Cardinal,M,94,42.3
aK398G7o6T-r3ZPtQu,2013-07-26,Northern Cardinal,F,88,40
q3r57e5UGE-pDW0ECN,2013-07-29,Song Sparrow,M,65,20.3
ex4VCaK0tf-uFW41H3,2013-07-23,Gray Catbird,F,90,33.2
z4m9U7dQ80-pDW0ECN,2013-07-29,Gray Catbird,M,87,37.8
e5b1PE3oUr-pDW0ECN,2013-07-29,Northern Cardinal,F,91,43.8
y515yrP04m-uFW41H3,2013-07-23,Northern Cardinal,M,92,43.3
cCh6TQ4K7R-rc725P7,2013-08-02,Song Sparrow,M,66.5,21.2
w7vA3BV2fy-laG0Jtk,2016-04-15,American Robin,M,124,76.6
v8jJH1b29X-lm930Ko,2016-05-16,Carolina Chickadee,F,57,9.1
i4yvTI6XZN-laG0Jtk,2016-04-15,Carolina Wren,M,62,22.1
iYA4jva57J-pDfM44p,2016-04-28,American Robin,M,126,78
m8HT4Bq14N-iqR6QU7,2016-05-17,Northern Cardinal,F,92,45
dB05XT9kDm-lm930Ko,2016-05-16,House Wren,M,54,10.9
byDNoSlt0L-iqR6QU7,2016-05-17,Northern Cardinal,F,87,34.7
jp29YD5634-iqR6QU7,2016-05-17,Northern Cardinal,F,88,40.2
ypxhY4wuSb-iqR6QU7,2016-05-17,Song Sparrow,M,63,21.3
gduaSyR2Nt-iqR6QU7,2016-05-17,Northern Cardinal,M,92,43.5
vRE816xiw0-iqR6QU7,2016-05-17,Northern Cardinal,F,88,35.4
jf8EkQz2ne-g28X5SA,2016-05-16,Northern Cardinal,M,95,44.8
u4181zr60V-g28X5SA,2016-05-16,Carolina Chickadee,M,62,9.9
wge8TbLHci-iqR6QU7,2016-05-17,Northern Cardinal,M,94,41.7
fzZ1o3X8p6-iqR6QU7,2016-05-17,American Robin,F,122,73.4
k840r7iV61-iqR6QU7,2016-05-17,Northern Cardinal,M,94,40.2
lqGmIlTQKX-bs34v21,2016-05-31,American Robin,M,130,72
mUx5XW28b7-gePB0cl,2016-05-31,House Wren,M,50,11
daCx37659f-gePB0cl,2016-05-31,House Wren,M,50,11
mk4l30P5HU-vQ3ls2J,2016-05-28,Northern Cardinal,M,90,42.5
cA6KOIw059-dQi5L3v,2016-06-03,Northern Cardinal,M,92,46.1
eFtw86hnNY-dQi5L3v,2016-06-03,Northern Cardinal,M,95,42
r3Wupes26r-gePB0cl,2016-05-31,House Wren,F,50,12.2
s960L18NZY-bs34v21,2016-05-31,Northern Cardinal,M,89,58.9
o2b4h002JE-vQ3ls2J,2016-05-28,Carolina Chickadee,F,59,9.7
qsOIu3075W-gePB0cl,2016-05-31,House Wren,M,51,11
uX9kM6fE74-gePB0cl,2016-05-31,Carolina Chickadee,F,59,8.8
yRTgB5JhKU-vQ3ls2J,2016-05-28,House Wren,M,52,11.6
eJhjCt57xA-bs34v21,2016-05-31,Song Sparrow,F,65,26.1
m4K7q3D5y4-dQi5L3v,2016-06-03,Northern Cardinal,F,91,45.2
t2sGNeEPnO-dQi5L3v,2016-06-03,Northern Cardinal,F,95,43.2
onQUm3Neub-dQi5L3v,2016-06-03,Northern Cardinal,M,93,39.4
km6cFN04Ha-vQ3ls2J,2016-05-28,Carolina Chickadee,M,65,10.5
